[2023-05-30 06:14:40] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([D[8]])
[2023-05-30 06:14:59] [root | line:55 | show_card] [INFO] - [H[10]]
[2023-05-30 06:14:59] [root | line:104 | _show_pattern] [INFO] - Single([H[10]])
[2023-05-30 06:14:59] [root | line:104 | remove_cards] [INFO] - Cards: [H[10]] showed.
[2023-05-30 06:14:59] [root | line:94 | show_pattern] [INFO] - Single([H[10]]) Showed
[2023-05-30 06:14:59] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[10]])
[2023-05-30 06:15:03] [root | line:55 | show_card] [INFO] - [S[10]]
[2023-05-30 06:15:03] [root | line:104 | _show_pattern] [INFO] - Single([S[10]])
[2023-05-30 06:15:03] [root | line:104 | remove_cards] [INFO] - Cards: [S[10]] showed.
[2023-05-30 06:15:03] [root | line:94 | show_pattern] [INFO] - Single([S[10]]) Showed
[2023-05-30 06:15:03] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([S[10]])
[2023-05-30 06:15:03] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: H[8]}, {6: C[Q]}, {7: H[Q]}, {8: H[A]}, {9: C[2]}]
[2023-05-30 06:15:03] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:03] [root | line:101 | detect] [INFO] - qualfied: [{6: C[Q]}, {7: H[Q]}, {8: H[A]}, {9: C[2]}]
[2023-05-30 06:15:03] [root | line:127 | show_card] [INFO] - [C[2]]
[2023-05-30 06:15:03] [root | line:186 | _show_pattern] [INFO] - Single([C[2]])
[2023-05-30 06:15:03] [root | line:104 | remove_cards] [INFO] - Cards: [C[2]] showed.
[2023-05-30 06:15:03] [root | line:168 | show_pattern] [INFO] - Single([C[2]]) Showed
[2023-05-30 06:15:03] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([C[2]])
[2023-05-30 06:15:03] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}, {11: D[K]}]
[2023-05-30 06:15:03] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:03] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:15:03] [root | line:80 | showcard_process] [INFO] - Player: AI #2741 這一回合 PASS
[2023-05-30 06:15:12] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:12] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:15:14] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:14] [root | line:80 | showcard_process] [INFO] - Player: S 這一回合 PASS
[2023-05-30 06:15:14] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:15:14] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: H[8]}, {6: C[Q]}, {7: H[Q]}, {8: H[A]}]
[2023-05-30 06:15:14] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:14] [root | line:101 | detect] [INFO] - qualfied: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: H[8]}, {6: C[Q]}, {7: H[Q]}, {8: H[A]}]
[2023-05-30 06:15:14] [root | line:127 | show_card] [INFO] - [H[8]]
[2023-05-30 06:15:14] [root | line:186 | _show_pattern] [INFO] - Single([H[8]])
[2023-05-30 06:15:14] [root | line:104 | remove_cards] [INFO] - Cards: [H[8]] showed.
[2023-05-30 06:15:14] [root | line:168 | show_pattern] [INFO] - Single([H[8]]) Showed
[2023-05-30 06:15:14] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[8]])
